Ticker,Name,Window,Passed,Signal_Level,Signal_Rank,Pass_Reason,Reject_Reason,Failed_Conditions,Conditions_Passed,Weekly_MA2_Warning,SMA25_Above_SMA75,SMA75_Up,Drop_OK,Return_OK,Green_Band_OK,Pull_Before_Latest,Rebound_Confirmed,Yellow_Band_OK,Weekly_MA2_OK,Peak_Date,Peak_High,Pullback_Date,Pullback_Low,Latest_Date,Latest_Close,Prev_Close,Return_%,Drop_From_Peak_%,Delta_from_Pull_%,SMA25,SMA75,SMA75_10d_Ago,"Within_(pull, +2%]","Within_(pull, +5%]",Data_Rows
4519.T,中外製薬,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Drop>15% | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,3,True,False,False,False,True,True,True,False,False,False,2026-04-24,9013.0,2026-07-15,7105.0,2026-07-22,7306.0,7397.0,23.36,18.94,2.83,7430.52,7875.91,8043.51,False,True,
4519.T,中外製薬,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,4,True,False,False,True,True,True,True,False,False,False,2026-07-03,7939.0,2026-07-15,7105.0,2026-07-22,7306.0,7397.0,8.66,7.97,2.83,7430.52,7875.91,8043.51,False,True,
4523.T,エーザイ,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目安値+5%外,4,False,False,False,True,True,False,True,True,False,True,2026-04-23,4821.0,2026-06-11,3660.0,2026-07-22,4550.0,4482.0,5.96,5.62,24.32,4175.24,4362.35,4432.01,False,False,
4523.T,エーザイ,30,False,,0,,ピーク後データなし,,0,False,False,False,False,False,False,False,False,False,True,2026-07-22,4607.0,,,,,,,,,,,,,,
4568.T,第一三共,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目日が最新日 | 前日終値超えなし,3,False,False,False,True,True,True,False,False,True,True,2026-07-21,2874.0,2026-07-22,2751.0,2026-07-22,2761.5,2815.0,4.07,3.91,0.38,2657.48,2670.55,2693.97,True,True,
4568.T,第一三共,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目日が最新日 | 前日終値超えなし,3,False,False,False,True,True,True,False,False,True,True,2026-07-21,2874.0,2026-07-22,2751.0,2026-07-22,2761.5,2815.0,4.07,3.91,0.38,2657.48,2670.55,2693.97,True,True,
4578.T,大塚HD,60,False,,0,,押し目安値+5%外,押し目安値+5%外,5,True,True,True,True,True,False,True,False,False,False,2026-05-21,11910.0,2026-06-10,10120.0,2026-07-22,10970.0,11080.0,8.57,7.89,8.4,10988.8,10968.4,10964.8,False,False,
4578.T,大塚HD,30,True,YELLOW,1,🟡押し目接近,,,6,True,True,True,True,True,True,True,False,True,False,2026-07-03,11870.0,2026-07-16,10840.0,2026-07-22,10970.0,11080.0,8.2,7.58,1.2,10988.8,10968.4,10964.8,True,True,
6479.T,ミネベアミツミ,60,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-25,5307.0,2026-07-17,3682.0,2026-07-22,3950.0,3902.0,34.35,25.57,7.28,4527.48,3948.97,3753.67,False,False,
6479.T,ミネベアミツミ,30,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-25,5307.0,2026-07-17,3682.0,2026-07-22,3950.0,3902.0,34.35,25.57,7.28,4527.48,3948.97,3753.67,False,False,
6501.T,日立,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | 押し目安値+5%外,5,False,False,True,True,True,False,True,True,False,True,2026-04-27,5422.0,2026-06-30,4422.0,2026-07-22,4807.0,4792.0,12.79,11.34,8.71,4711.2,4880.44,4876.96,False,False,
6501.T,日立,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75,6,False,False,True,True,True,True,True,True,False,True,2026-07-07,5004.0,2026-07-17,4616.0,2026-07-22,4807.0,4792.0,4.1,3.94,4.14,4711.2,4880.44,4876.96,False,True,
6503.T,三菱電機,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | Drop>15% | 押し目安値+5%外,4,True,False,True,False,True,False,True,True,False,False,2026-05-27,6686.0,2026-07-17,5203.0,2026-07-22,5629.0,5591.0,18.78,15.81,8.19,5850.72,5950.32,5905.92,False,False,
6503.T,三菱電機,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | 押し目安値+5%外,5,True,False,True,True,True,False,True,True,False,False,2026-06-23,6345.0,2026-07-17,5203.0,2026-07-22,5629.0,5591.0,12.72,11.28,8.19,5850.72,5950.32,5905.92,False,False,
6504.T,富士電機,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | Drop>15% | 押し目安値+5%外,4,True,False,True,False,True,False,True,True,False,False,2026-05-26,17800.0,2026-07-17,11705.0,2026-07-22,12935.0,12575.0,37.61,27.33,10.51,13543.4,13581.07,13361.2,False,False,
6504.T,富士電機,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | Drop>15% | 押し目安値+5%外,4,True,False,True,False,True,False,True,True,False,False,2026-06-23,15315.0,2026-07-17,11705.0,2026-07-22,12935.0,12575.0,18.4,15.54,10.51,13543.4,13581.07,13361.2,False,False,
6506.T,安川電機,60,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-22,7915.0,2026-07-17,4900.0,2026-07-22,5213.0,5119.0,51.83,34.14,6.39,6624.28,6224.97,6027.31,False,False,
6506.T,安川電機,30,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-22,7915.0,2026-07-17,4900.0,2026-07-22,5213.0,5119.0,51.83,34.14,6.39,6624.28,6224.97,6027.31,False,False,
